frames,Confidence,Ymin,Xmin,Ymax,Xmax
373,53,1,36,476,204
374,62,1,207,480,394
375,53,1,30,476,210
376,0,0,0,0,0
377,62,1,99,474,260
378,56,1,33,476,207
379,56,1,17,462,179
380,0,0,0,0,0
381,0,0,0,0,0
382,0,0,0,0,0
383,0,0,0,0,0
384,0,0,0,0,0
385,0,0,0,0,0
386,0,0,0,0,0
387,0,0,0,0,0
388,0,0,0,0,0
389,0,0,0,0,0
390,0,0,0,0,0
391,53,25,68,479,291
392,66,22,80,476,291
393,56,19,64,472,279
394,71,15,78,477,289
395,78,1,56,466,267
396,74,7,50,461,276
397,78,7,47,477,282
398,71,1,65,480,268
399,68,6,29,462,227
400,74,4,19,463,216
400,59,26,292,476,625
401,59,9,17,467,214
402,53,13,10,463,190
403,0,0,0,0,0
404,0,0,0,0,0
405,0,0,0,0,0
406,0,0,0,0,0
407,0,0,0,0,0
408,0,0,0,0,0
409,56,1,299,474,555
410,0,0,0,0,0
411,0,0,0,0,0
412,53,1,161,477,548
413,0,0,0,0,0
414,62,1,58,470,523
415,68,1,99,470,580
416,56,1,139,470,572
417,0,0,0,0,0
418,62,1,23,476,238
419,82,1,19,476,276
420,78,1,23,480,301
421,56,5,414,480,633
421,56,4,20,480,328
422,56,4,9,480,334
423,0,0,0,0,0
424,78,1,13,480,350
425,59,1,6,480,331
426,68,1,5,480,342
427,71,1,3,475,328
428,53,1,15,475,312
429,53,1,21,466,248
430,0,0,0,0,0
431,0,0,0,0,0
432,53,4,17,480,331
433,66,1,12,475,309
434,71,1,12,466,283
435,71,1,8,471,265
436,59,1,15,462,242
437,71,1,8,471,274
438,0,0,0,0,0
439,62,1,21,471,270
440,62,1,23,466,250
441,53,1,25,466,244
442,66,1,19,476,272
443,56,4,17,480,304
444,0,0,0,0,0
445,62,1,19,476,242
446,62,1,19,476,242
447,0,0,0,0,0
448,0,0,0,0,0
449,0,0,0,0,0
450,53,1,21,467,214
451,0,0,0,0,0
452,0,0,0,0,0
453,0,0,0,0,0
454,0,0,0,0,0
455,0,0,0,0,0
456,0,0,0,0,0
457,0,0,0,0,0
458,0,0,0,0,0
459,0,0,0,0,0
460,0,0,0,0,0
461,0,0,0,0,0
462,0,0,0,0,0
463,0,0,0,0,0
464,59,1,26,453,209
465,0,0,0,0,0
466,59,1,28,476,228
467,53,1,28,453,211
468,0,0,0,0,0
469,0,0,0,0,0
470,0,0,0,0,0
471,56,1,11,471,194
472,0,0,0,0,0
473,0,0,0,0,0
474,53,1,404,476,631
475,62,1,338,470,599
476,66,5,370,480,618
477,0,0,0,0,0
478,0,0,0,0,0
479,0,0,0,0,0
480,0,0,0,0,0
481,0,0,0,0,0
482,0,0,0,0,0
483,56,1,135,480,500
484,0,0,0,0,0
485,0,0,0,0,0
486,0,0,0,0,0
487,71,1,106,480,506
488,74,18,88,474,536
489,62,46,192,480,485
490,0,0,0,0,0
491,0,0,0,0,0
492,0,0,0,0,0
493,0,0,0,0,0
494,68,10,421,480,588
495,0,0,0,0,0
496,0,0,0,0,0
497,62,25,372,480,565
498,62,21,370,480,574
499,0,0,0,0,0
500,0,0,0,0,0
501,0,0,0,0,0
502,0,0,0,0,0
503,0,0,0,0,0
504,0,0,0,0,0
505,0,0,0,0,0
506,0,0,0,0,0
507,0,0,0,0,0
508,0,0,0,0,0
509,0,0,0,0,0
510,0,0,0,0,0
511,0,0,0,0,0
512,0,0,0,0,0
513,0,0,0,0,0
514,0,0,0,0,0
515,0,0,0,0,0
516,0,0,0,0,0
517,0,0,0,0,0
518,56,1,6,459,153
519,59,1,6,458,164
520,62,1,3,458,167
521,0,0,0,0,0
522,0,0,0,0,0
523,0,0,0,0,0
524,0,0,0,0,0
525,0,0,0,0,0
526,0,0,0,0,0
527,0,0,0,0,0
528,0,0,0,0,0
529,0,0,0,0,0
530,0,0,0,0,0
531,0,0,0,0,0
532,0,0,0,0,0
533,0,0,0,0,0
534,0,0,0,0,0
535,62,1,219,480,419
536,0,0,0,0,0
537,0,0,0,0,0
538,0,0,0,0,0
539,0,0,0,0,0
540,0,0,0,0,0
541,0,0,0,0,0
542,0,0,0,0,0
543,56,1,386,462,610
544,59,1,17,476,210
544,56,1,332,463,579
545,56,1,12,471,202
546,53,1,12,476,202
547,56,1,225,470,494
548,0,0,0,0,0
549,56,1,254,462,517
550,0,0,0,0,0
551,56,1,304,458,574
551,53,1,13,462,193
552,59,1,25,476,219
552,53,1,345,474,563
553,59,22,396,478,616
554,0,0,0,0,0
555,0,0,0,0,0
556,0,0,0,0,0
557,0,0,0,0,0
558,56,1,12,476,180
559,56,1,12,476,180
560,56,1,12,476,180
561,56,1,12,476,180
562,0,0,0,0,0
563,0,0,0,0,0
564,0,0,0,0,0
565,0,0,0,0,0
566,0,0,0,0,0
567,0,0,0,0,0
568,0,0,0,0,0
569,0,0,0,0,0
570,0,0,0,0,0
571,0,0,0,0,0
572,0,0,0,0,0
573,0,0,0,0,0
574,0,0,0,0,0
575,0,0,0,0,0
576,0,0,0,0,0
577,0,0,0,0,0
578,0,0,0,0,0
579,53,1,23,462,191
580,56,5,217,480,381
580,56,1,26,462,188
581,71,1,222,477,383
581,62,1,37,471,202
582,59,1,26,462,196
583,53,1,33,466,207
584,0,0,0,0,0
585,0,0,0,0,0
586,56,1,35,462,209
587,0,0,0,0,0
588,53,1,43,462,214
589,0,0,0,0,0
590,0,0,0,0,0
591,0,0,0,0,0
592,0,0,0,0,0
593,0,0,0,0,0
594,0,0,0,0,0
595,0,0,0,0,0
596,0,0,0,0,0
597,0,0,0,0,0
598,0,0,0,0,0
599,0,0,0,0,0
600,0,0,0,0,0
601,0,0,0,0,0
602,0,0,0,0,0
603,0,0,0,0,0
604,53,1,39,453,201
605,0,0,0,0,0
606,0,0,0,0,0
607,0,0,0,0,0
608,0,0,0,0,0
609,0,0,0,0,0
610,53,2,105,480,287
611,0,0,0,0,0
612,0,0,0,0,0
613,0,0,0,0,0
614,0,0,0,0,0
615,0,0,0,0,0
616,0,0,0,0,0
617,0,0,0,0,0
618,0,0,0,0,0
619,56,1,39,462,201
619,0,0,0,0,0
620,0,0,0,0,0
621,0,0,0,0,0
622,0,0,0,0,0
623,0,0,0,0,0
624,0,0,0,0,0
625,0,0,0,0,0
626,0,0,0,0,0
627,0,0,0,0,0
628,0,0,0,0,0
629,0,0,0,0,0
630,0,0,0,0,0
631,0,0,0,0,0
632,0,0,0,0,0
633,56,18,361,480,514
634,0,0,0,0,0
635,0,0,0,0,0
636,0,0,0,0,0
637,0,0,0,0,0
638,0,0,0,0,0
639,0,0,0,0,0
640,0,0,0,0,0
641,0,0,0,0,0
642,0,0,0,0,0
643,0,0,0,0,0
644,0,0,0,0,0
645,0,0,0,0,0
646,0,0,0,0,0
647,0,0,0,0,0
648,0,0,0,0,0
649,56,1,352,477,552
650,0,0,0,0,0
651,0,0,0,0,0
652,0,0,0,0,0
653,0,0,0,0,0
654,0,0,0,0,0
655,0,0,0,0,0
656,0,0,0,0,0
657,0,0,0,0,0
658,0,0,0,0,0
659,0,0,0,0,0
660,59,1,17,462,218
661,59,1,17,462,218
662,53,1,26,471,200
663,53,7,22,478,165
664,53,1,12,477,164
665,56,1,467,474,631
666,0,0,0,0,0
667,0,0,0,0,0
668,0,0,0,0,0
669,0,0,0,0,0
670,0,0,0,0,0
671,0,0,0,0,0
672,0,0,0,0,0
673,0,0,0,0,0
674,0,0,0,0,0
675,0,0,0,0,0
676,0,0,0,0,0
677,0,0,0,0,0
678,0,0,0,0,0
679,0,0,0,0,0
680,0,0,0,0,0
681,0,0,0,0,0
682,0,0,0,0,0
683,0,0,0,0,0
684,0,0,0,0,0
685,0,0,0,0,0
686,0,0,0,0,0
687,0,0,0,0,0
688,0,0,0,0,0
689,0,0,0,0,0
690,0,0,0,0,0
691,0,0,0,0,0
692,0,0,0,0,0
693,0,0,0,0,0
694,0,0,0,0,0
695,0,0,0,0,0
696,0,0,0,0,0
697,0,0,0,0,0
698,0,0,0,0,0
699,56,5,445,480,598
699,53,1,18,480,208
700,68,1,15,480,208
700,56,1,454,467,619
701,0,0,0,0,0
702,0,0,0,0,0
703,0,0,0,0,0
704,0,0,0,0,0
705,0,0,0,0,0
706,0,0,0,0,0
707,0,0,0,0,0
708,0,0,0,0,0
709,0,0,0,0,0
710,0,0,0,0,0
711,0,0,0,0,0
712,0,0,0,0,0
713,0,0,0,0,0
714,0,0,0,0,0
715,59,1,453,476,620
716,0,0,0,0,0
717,0,0,0,0,0
718,0,0,0,0,0
719,68,1,430,476,613
720,0,0,0,0,0
721,66,4,400,472,600
722,62,1,396,476,604
723,53,1,90,473,213
724,59,1,226,480,445
724,59,1,481,469,620
725,56,1,26,475,200
726,56,1,455,467,605
727,53,1,400,469,528
728,0,0,0,0,0
729,0,0,0,0,0
730,0,0,0,0,0
731,0,0,0,0,0
732,0,0,0,0,0
733,56,1,267,466,395
734,0,0,0,0,0
735,0,0,0,0,0
736,66,1,125,466,257
737,56,1,103,469,240
738,0,0,0,0,0
739,53,21,41,480,158
740,53,21,41,480,158
741,0,0,0,0,0
742,0,0,0,0,0
743,0,0,0,0,0
744,0,0,0,0,0
745,53,5,421,480,601
746,53,1,340,477,574
747,71,1,349,477,572
748,66,14,324,480,547
749,71,2,323,480,562
